catchment	stream	Cacoides	Progomphus	Epigomphus	Dythemis	Macrothemis	Heteragrion	Hetaerina	Argia	Heliocharis	Campylocia	Farrodes	Ulmeritoides	Thraulodes	Askola	Massartella	Hylister	Hagenulopsis	Cloeodes	Aturbina	Camelobaetidius	Baetodes	Americabaetis	Zelusia	Callibaetis	Traverhyphes	Tricorythodes	Tricorythopsis	Simothraulopsis	Leptohyphes	Caenis	Gripopteryx	Anacroneuria	Enderleina	Kempnyia	Macrogynoplax	Guaranyperla	Laccodytes	Psephenus	Phanocerus	Austrolimnius	Promoresia	Xenelmis	Hexacylloepus	Heterelmis	Macrelmis	Genus_A_Disersus	Hexanchorus	Microcylloepus	Stegoelmis	Huleechius	Neoelmis	Cylloepus	Gyrelmis	Ptilodactylidae_sp	Helicopsyche	Austrotinodes	Atopsyche	Phylloicus	Xiphocentron	Contulma	Marilia	Mortoniella	Protoptila	Chimarra	Wormaldia	Neotrichia	Hydroptila	Oxyethira	Leucotrichia	Metrichia	Alisotrichia	Leptonema	Smicridea	Macrostemum	Macronema	Blepharopus	Triplectides	Nectopsyche	Oecetis	Cernotina	Cyrnellus	Polyplectropus	Corydalus
4	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
4	4.4	0	1	0	0	0	1	0	0	0	18	43	0	0	0	1	0	0	0	0	0	2	7	3	0	4	0	5	0	0	0	2	13	0	21	0	0	0	0	0	0	0	0	10	4	0	4	0	0	0	0	4	0	0	0	3	0	1	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	1	0	4	0	0	0	1	1
4	4.5	0	3	0	0	0	2	0	5	0	31	0	0	0	0	25	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	14	0	1	0	0	0	0	0	0	0	0	3	4	0	1	0	0	0	0	1	3	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	6	3	0	0	0	1	2	0	0	0	0	1
5	5.1	0	0	0	0	0	1	0	0	0	0	13	1	1	0	2	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	5.2	0	0	0	0	0	2	0	6	0	1	8	4	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0
5	5.3	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
5	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	5.5	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
6	6.1	0	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	6.2	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	1	0	0	4	6	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0
6	6.3	1	0	0	3	0	4	0	0	1	0	3	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6	6.4	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	23	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	14	28	22	0	0	0	0	0	0	13	16	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1
6	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7	7.1	0	1	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
7	7.2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0
7	7.3	0	0	0	0	0	0	0	10	0	0	213	0	0	0	1	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	86	86	0	0	0	1	1	0	0	0	0	0
7	7.4	0	0	0	0	0	3	0	0	1	0	43	0	0	0	0	7	0	0	0	0	0	0	0	0	134	0	0	0	0	0	19	2	0	0	0	0	0	0	1	0	0	0	13	47	0	0	0	4	0	0	1	0	0	0	1	2	0	3	0	0	0	0	0	11	0	4	0	0	0	0	0	18	38	0	0	0	0	0	0	0	0	0	0
7	7.5	1	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	0	0	1	0	0	0	0	0	0	0
8	8.1	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0
8	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
8	8.4	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
8	8.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
9	9.1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	27	0	0	1	0	0	0	3	1	0	0	0	0	13	17	0	1	0	0	0	1	12	3	0	1	10	5	5	0	0	3	0	0	6	1	0	0	0	1	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	2	4	0	0	0	0	1
9	9.2	0	0	0	1	0	0	0	0	0	0	1	12	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	0	0
9	9.3	0	1	0	0	0	0	0	0	0	0	33	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	9	0	0	0	14	13	0	0	0	0	0	0	0	4	0	0	28	3	0	0	0	10	0	0	15	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0
9	9.4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	16	18	0	0	0	0	0	0	2	0	0	2	2	5	2	0	0	0	0	0	4	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	3	0	0	0	0	0
9	9.5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	48	25	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10	10.1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10.2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	6	10	0	0	6	0	0	3	0	0	0	0
10	10.3	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	45	0	0	0	0	0	0	0	0	0	0
10	10.4	0	0	0	3	0	0	0	4	0	0	13	0	0	0	5	0	0	23	0	0	0	0	0	13	0	0	0	0	0	13	13	2	0	0	0	0	0	0	2	0	0	0	25	41	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	3	0	0
10	10.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	11.1	0	0	0	8	0	0	0	0	0	0	3	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	1	0	0	1	0	0	0	0	0	7	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
11	11.2	0	0	0	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
11	11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	11.4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	86	0	0	0	0	0	0	0
11	11.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	3	9	0	0	0	1	0	0	2	1	0	1	9	12	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0
12	12.1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
12	12.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	12.3	0	4	0	1	0	0	1	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	4	7	0	0	0	0	0	9	10	0	0	1	0	0	0	2	1	0	13	2	39	1	0	0	1	1	0	5	0	0	0	4	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	2	3	0	0	4	1	19	0	0	0	0	0
12	12.4	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
12	12.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	15	4	0	0	1	0	0	0	0	0	0	0	2	14	0	0	0	3	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0
13	13.1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	6	1	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
13	13.2	0	0	0	3	0	0	0	0	0	0	19	0	0	0	0	0	0	5	0	0	2	0	0	0	2	0	0	0	0	1	16	9	0	0	0	0	0	0	2	0	0	1	34	97	2	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	39	0	0	0	0	0	0	0	0	0	0
13	13.3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	5	1	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	4	0	14	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
13	13.4	0	7	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	12	2	0	0	0	0	0	0	0	0	0	0	179	10	129	0	0	0	0	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
13	13.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
14	14.1	0	0	0	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	9	0	0	0	0	0	0	0	0	0	0	20	48	26	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	29	0	0	0	0	0	0	0	3	30	0	0	0	0	1	0	0	3	0	0
14	14.2	1	0	0	0	0	0	0	6	0	20	33	0	13	0	0	0	0	7	0	0	5	0	0	0	10	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	1	1	45	0	0	0	3	0	0	8	0	0	0	0	16	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	7	68	0	0	0	0	0	0	0	0	0	0
14	14.3	0	0	0	4	0	0	1	6	0	0	23	0	0	0	0	0	0	0	0	0	7	0	0	13	32	0	0	0	0	0	22	21	0	0	0	0	0	0	0	0	0	0	52	86	0	0	0	0	0	0	0	2	0	0	0	8	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0
14	14.4	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	129	0	0	0	0	0	0	0	1	0	0
14	14.5	0	0	0	7	0	0	0	2	0	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	1	2	0	0	0	0	0	0	0	0	0	7	16	40	7	0	0	18	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15	15.1	0	0	0	1	0	7	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	45	7	0	0	14	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	13	0	0	0	0	9	0	0	0	0	0
15	15.2	0	0	0	2	0	0	0	4	0	0	18	0	0	0	13	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	9	31	0	1	0	0	0	0	4	0	0	5	0	58	3	27	0	0	0	0	11	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	4	0	0	1	2	0	0	0
15	15.3	0	1	0	0	0	3	0	2	1	0	5	0	0	0	2	0	0	7	0	0	0	0	0	0	3	0	0	0	0	1	5	0	0	0	5	0	0	2	0	0	0	86	0	43	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	15.4	0	0	0	1	0	1	0	0	0	5	45	0	0	0	7	0	0	0	0	0	0	0	0	13	7	3	3	0	0	0	1	25	0	2	0	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	2	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	1	0	2	0	0	0
